Section,Subsection,Features,Classes,,Findings/Unique Sentences,,,,
Left Ventricle,Systolic Function,Systolic Function,Hyperdynamic,,Hyperdynamic systolic function,,,,
,,,Normal,,Normal systolic function,,,,
,,,,,Normal ejection fraction,,,,
,,,Mild,,Mildly decreased systolic function,,,,
,,,Moderate,,Moderately decreased systolic function,,,,
,,,Severe,,Severely decreased systolic function,,,,
,,Ejection Fraction,# (or range),,Ejection fraction = ,,,,
,,,,,EF range,,,,
,,,,,Ejection fraction by visual estimation is,,,,
,,,,,Ejection fraction by Biplane Simpson's is,,,,
,,Regional Wall Motion Abnormality,None,,No regional wall motion abnormalities,,,,
,,,Present,,Regional wall motion abnormalities present,,,,
,,,,Septal,Abnormal septal motion,,,,
,,,,,Abnormal septal motion with no other regional wall motion abnormalities,,,,
,,,,Global,Global hypokinesis,,,,
,,GLS Strain,#,,{FROM MEASUREMENTS},,,,
,Diastolic Function,Diastolic Function,Indeterminant,,Indeterminant diastolic function,,,,
,,,Normal,,Normal diastolic function,,,,
,,,Abnormal,-,Diastolic dysfunction present,,,,
,,,,Mild,Mild diastolic dysfunction,,,,
,,,,Moderate,Moderate diastolic dysfunction,,,,
,,,,Severe,Severely diastolic dysfunction,,,,
,,Filling Pressure,Indeterminant,,Indeterminant filling pressure,,,,
,,,Normal,,Normal filling pressure,,,,
,,,Elevated,,Elevated filling pressure,,,,
,,Septal e',#,,{FROM MEASUREMENTS},,,,
,,Lateral e',#,,{FROM MEASUREMENTS},,,,
,,Average E/e,#,,{FROM MEASUREMENTS},,,,
,Cavity Size,LVIDd,#,,{FROM MEASUREMENTS},,,,
,,LVIDd index,#,,{FROM MEASUREMENTS},,,,
,,LVIDs,#,,{FROM MEASUREMENTS},,,,
,,LVIDs index,#,,{FROM MEASUREMENTS},,,,
,,LV EDV Index,#,,{FROM MEASUREMENTS},,,,
,,LV EDV index,#,,{FROM MEASUREMENTS},,,,
,,Cavity Size,Normal,,Normal size based on linear index dimension,,,,
,,,,,Normal LV size based on indexed linear dimension,,,,
,,,,,Normal LV size based on linear index dimension,,,,
,,,,,Normal size based on end diastolic volume index,,,,
,,,,,Normal LV size based on indexed end diastolic volume,,,,
,,,,,Normal size by visual estimate,,,,
,,,Mild,,Mildly dilated based on linear index dimension,,,,
,,,,,Mildly dilated LV size based on indexed linear dimension,,,,
,,,,,Mildly dilated based on end diastolic volume index,,,,
,,,Moderate,,Moderately dilated based on linear index dimension,,,,
,Relative Wall Thickness,LV Mass Index,#,,{FROM MEASUREMENTS},,,,
,,LV RWT,#,,{FROM MEASUREMENTS},,,,
,,IVSd,#,,{FROM MEASUREMENTS},,,,
,,LVPWd,#,,{FROM MEASUREMENTS},,,,
,,LV Hypertrophy,Normal,,Normal relative wall thickness and LV mass,,,,
,,,,,Normal wall thickness,,,,
,,,Concentric remodel,,Concentric remodelling,,,,
,,,,,Concentric remodeling,,,,
,,,Concentric hypertrophy,,Concentric hypertrophy,,,,
,,,,,Mild concentric hypertrophy,,,,
,,,Eccentric hypertrophy,,Eccentric hypertrophy,,,,
,,Max Wall Thickness,#,,The maximal wall thickness is,,,,
,LVOT Characteristics,LVOT diam,#,,{FROM MEASUREMENTS},,,,
,,LVOT peak gradient,#,,LVOT peak gradient,,,,
,,SV LVOT,#,,{FROM MEASUREMENTS},,,,
,,SV LVOT Index,#,,{FROM MEASUREMENTS},,,,
,,CO LVOT,#,,{FROM MEASUREMENTS},,,,
,,Sigmoid,Boolean,,There is a sigmoid basal ventricular septum,,,,
,,,,,Sigmoid basal ventricular septum,,,,
,Right Ventricle Relationship,RV Pressure Overload,Boolean,,Septal flattening of the left ventricle due to pressure loaded right ventricle,,,,
,,RV Volume Overload,Boolean,,Septal flattening of the left ventricle due to volume loaded right ventricle,,,,
,,RV Pacemaker,Boolean,,Abnormal septal motion consistent with RV pacemaker,,,,
Right Ventricle,Systolic Function,Systolic Function,Hyperdynamic,,Hyperdynamic systolic function,,,,
,,,Normal,,Normal systolic function,,,,
,,,,,Normal and normal systolic function,,,,
,,,,,"Normal size, with normal systolic function",,,,
,,,,,Normal size and normal systolic function,,,,
,,,,,Normal RV size and systolic function,,,,
,,,,,Normal RV size and function,,,,
,,,,,"Mildly enlarged size, with normal systolic function",,,,
,,,,,Mildly enlarged size and normal systolic function,,,,
,,,,,Low normal systolic function,,,,
,,,,,Low normal RV systolic function,,,,
,,,,,RV systolic function is lower limits of normal,,,,
,,,Mild,,Mildly decreased systolic function,,,,
,,,,,Mildly reduced systolic function,,,,
,,,,,"Normal size, with mildly reduced systolic function",,,,
,,,,,Normal size with mildly reduced systolic function,,,,
,,,,,"Mildly enlarged size, with mildly reduced systolic function",,,,
,,,Moderate,,Moderately decreased systolic function,,,,
,,,,,Moderately reduced systolic function,,,,
,,,Severe,,Severely decreased systolic function,,,,
,,,,,Severely reduced systolic function,,,,
,,TAPSE,#,,{FROM MEASUREMENTS},,,,
,,RV S' (TV S'),#,,{FROM MEASUREMENTS},,,,
,,Regional Wall Motion Abnormality,Free wall,,Segmental function: entire free wall is hypokinetic,,,,
,Cavity Size,RVd A4C,#,,{FROM MEASUREMENTS},,,,
,,Grade,Normal,,Normal size by linear dimension,,,,
,,,,,Normal size by linear measurement,,,,
,,,,,Visually RV appears normal size,,,,
,,,,,Normal size,,,,
,,,,,"Normal size, with normal systolic function",,,,
,,,,,Normal size and normal systolic function,,,,
,,,,,Normal RV size and systolic function,,,,
,,,,,Normal RV size and function,,,,
,,,,,"Normal size, with mildly reduced systolic function",,,,
,,,,,Normal size with mildly reduced systolic function,,,,
,,,,,Upper normal size by linear dimension,,,,
,,,,,Upper normal size by linear measurement,,,,
,,,Abnormal,-,Dilated by linear dimension,,,,
,,,,,Dilated by linear measurement,,,,
,,,,Mild,Mildly dilated by visual assessment,,,,
,,,,,Visually RV appears mildly dilated,,,,
,,,,,Mildly dilated by linear measurement,,,,
,,,,,Mildly dilated,,,,
,,,,,"Mildly enlarged size, with normal systolic function",,,,
,,,,,Mildly enlarged size and normal systolic function,,,,
,,,,,"Mildly enlarged size, with mildly reduced systolic function",,,,
,,,,Mild-moderate,Mild-moderately decreased systolic function,,,,
,,,,Moderate,Moderately dilated by visual assessment,,,,
,,,,,Visually RV appears moderately dilated,,,,
,,,,Severe,Severely dilated by visual assessment,,,,
,,,,,Visually RV appears severely dilated,,,,
,Wall Thickness,RV Wall Thickness,Normal,,RV wall thickness is normal,,,,
,,,Mild,,RV wall thickness is mildly increased,,,,
,,,Moderate,,RV wall thickness is moderately increased,,,,
,Quality of Scan,Quality,NWS,,Not well seen,,,,
,,,,,The right ventricle was not well seen,,,,
Left Atrium,Cavity Size,LA diameter,#,,,,,,
,,LA volume,#,,,,,,
,,LA volume indexed,#,,{FROM MEASUREMENTS},,,,
,,Grade,Normal,,Normal size by biplane volume index,,,,
,,,,,Normal size by volume index,,,,
,,,,,Normal in size by volume index,,,,
,,,,,Normal size by visual estimate,,,,
,,,,,Normal size,,,,
,,,,,Normal in size,,,,
,,,,,Normal size by monoplane volume index,,,,
,,,,,Upper normal size by volume index,,,,
,,,,,Upper normal in size by volume index,,,,
,,,Mild,,Mildly dilated by biplane volume index,,,,
,,,,,Mildly dilated by volume index,,,,
,,,,,Mildly dilated by visual estimate,,,,
,,,,,Mildly dilated by visual assessment,,,,
,,,,,Mildly dilated,,,,
,,,,,Mildly dilated by monoplane volume index,,,,
,,,,,Mild LA enlargement by visual assessment,,,,
,,,Mild-moderate,,Mild-moderately dilated by biplane volume index,,,,
,,,,,Mild-moderately dilated by volume index,,,,
